REGION_CHILD_CODE,REGION_PARENT_CODE
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,2
12,2
13,3
14,3
15,4
16,4
17,5
18,5
19,6
20,6
21,6
22,6
23,6
24,7
25,8
26,9
30,11
31,11
32,11
33,11
44,12
45,12
27,13
28,13
29,13
36,14
37,14
38,14
34,15
35,15
39,16
40,16
41,16
48,17
49,17
50,17
51,18
52,18
46,19
47,19
56,20
57,21
58,22
59,23
60,23
53,24
54,24
42,25
43,25
55,26
61,27
62,27
63,27
64,27
65,27
66,27
67,27
68,28
69,28
70,29
71,29
72,30
73,30
74,30
75,30
76,30
77,30
78,30
79,30
80,30
81,30
82,31
83,31
84,31
85,31
86,31
87,31
88,31
89,31
90,31
91,32
92,32
93,33
94,33
95,33
96,33
97,34
98,34
99,34
100,34
101,34
102,34
103,35
104,35
105,35
106,36
107,36
108,36
109,36
110,36
111,36
112,36
113,36
114,36
115,36
116,36
117,36
118,36
119,36
120,36
121,36
122,36
123,36
124,36
125,36
126,37
127,38
128,38
129,39
130,39
131,40
132,40
133,40
134,40
135,40
136,40
137,40
138,40
139,40
140,40
141,41
142,41
143,41
144,41
145,41
146,41
147,41
148,42
149,42
150,42
151,42
152,42
153,42
154,42
155,42
156,43
157,43
158,43
159,43
160,44
161,44
162,44
163,44
164,45
165,45
166,46
167,46
168,47
169,47
170,48
171,48
172,48
173,48
174,49
175,49
176,49
177,49
178,49
179,50
180,50
181,50
182,50
183,51
184,51
185,52
186,53
187,53
188,53
189,53
190,54
191,54
192,54
193,54
194,54
195,55
196,55
197,56
198,56
199,56
200,56
201,56
202,56
203,56
204,56
205,56
206,56
207,56
208,57
209,57
210,58
211,58
212,58
213,59
214,59
215,60
216,60
217,60
